#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
befoul	-0.5
befouled	-0.6
befoulment	-0.6
beg	-0.7
beggar	-0.6
beggarly	-0.6
beggarman	-0.6
beggarwoman	-0.6
beggary	-0.6
begging	-0.7
begrimed	-0.4
beguiling	-0.4
behemoth	-0.4
behind	-0.2
beholden	-0.3
belabor	-0.3
belch	-0.5
beldam	-0.9
belie	-0.4
belittle	-0.2
belittled	-0.4
belittling	-0.3
belligerence	-0.5
belligerent	-0.5
belligerently	-0.4
bellow	-0.3
bellyful	-0.1
belt	-0.1
bemoan	-0.2
bemoaning	-0.3
bemused	-5
benight	-0.3
bent	-0.3
berate	-0.6
berating	-0.5
bereave	-0.6
bereaved	-0.6
bereavement	-0.2
bereaves	-0.4
bereaving	-0.3
bereft	-0.6
berk	-0.2
berserk	-0.8
beseech	-0.4
beset	-0.2
besiege	-0.6
besieged	-0.4
besmirch	-0.4
bestial	-0.3
bestiality	-0.5
bestialize	-0.4
beta	-1
betray	-0.3
betrayal	-0.8
betrayals	-0.7
betrayed	-0.3
betrayer	-0.7
betraying	-0.5
betrays	-0.6
betta	-1
bewail	-0.3
beware	-0.6
bewilder	-0.7
bewildered	-0.4
bewildering	-0.8
bewilderingly	-0.6
bewilderment	-0.4
bewitch	-0.4
b-grade	-0.4
bias	-0.5
biased	-0.5
biases	-0.2
bible-thumper	-0.2
bicker	-0.3
bickering	-0.4
bid-rigging	-0.3
bier	-0.3
bigmouthed	-0.7
bigot	-1
bigoted	-0.8
bigotries	-1
bigotry	-0.8
bilgy	-0.4
biliousness	-0.8
bilk	-0.6
bimbo	-0.8
biogenic	-0.2
biopsy	-0.7
bipolar	-0.5
bismuth	-0.3
bit	-0.1
bitch	-1
bitchery	-1
bitches	-1
bitchy	-1
bite	-0.2
biting	-0.1
bitingly	-0.4
bitten	-0.6
bitter	-0.4
bitterest	-0.3
bitterish	-0.4
bitterly	-0.4
bitterness	-0.4
bittersweet	-0.2
bizarre	-0.5
bizarrely	-0.7
blab	-0.3
blabber	-0.2
blabbermouth	-0.5
blabbermouthed	-0.6
blacken	-0.2
blackheart	-0.3
blackjack	-0.1
blackmail	-0.1
blackmailed	-0.9
blackmailer	-0.7
blackmailing	-0.7
black-market	-0.5
blackness	-0.2
blackout	-0.5
blackwash	-0.6
blackwater	-0.6
blade	-0.2
bladed	-0.2
blah	-0.4
blahh	-0.4
blahhh	-0.5
blahhhh	-0.7
blahs	-0.7
blain	-0.7
blame	-0.4
blamed	-0.3
blames	-0.6
blameworthiness	-0.5
blameworthy	-0.5
blaming	-0.4
bland	-0.6
blander-than-bland	-0.4
blandish	-0.4
blandishment	-0.5
blandly	-0.4
blandness	-0.4
blank	-0.3
blare	-0.4
blaring	-0.5
blaspheme	-0.8
blasphemous	-0.7
blasphemously	-0.7
blasphemy	-0.7
blast	-0.4
blasted	-0.4
blatancy	-0.4
blatant	-0.4
blatantly	-0.3
blather	-0.4
blaxploitation	-0.6
blaze	-0.1
bleak	-0.4
bleakly	-0.4
bleakness	-0.4
bleary	-0.4
bleary-eyed	-0.4
blebby	-0.6
blech	-0.8
bleed	-0.8
bleeding	-0.7
bleeds	-0.7
bleh	-0.8
blemish	-0.5
blemished	-0.3
blew	-0.2
blight	-0.4
blighted	-0.3
blind	-0.3
blinded	-0.3
blinding	-0.4
blindingly	-0.5
blindly	-0.4
blindside	-0.2
blister	-0.3
blistering	-0.7
blitz	-0.1
bloated	-0.6
block	-0.5
blockade	-0.1
blockage	-0.1
blocked	-0.5
blocker	-0.1
blockhead	-1
blocking	-0.1
blood	-0.6
bloodcurdling	-0.9
bloodguilt	-0.9
bloodguilty	-0.9
bloodily	-0.4
bloodless	-0.4
bloods	-1
bloodshed	-0.9
bloodshot	-0.4
bloodstone	-0.1
bloodthirsty	-0.9
bloodwort	-0.1
blooper	-0.4
blot	-0.2
blotchy	-0.2
blower	-0.4
blowout	-0.4
blowsy	-0.8
blubber	-0.6
blubberer	-0.6
bludgeon	-0.4
blues	-0.3
bluff	-0.2
bluffer	-0.2
blunder	-0.2
blunderbuss	-0.2
blundering	-0.3
blunders	-0.5
blunt	-0.2
bluntly	-0.3
blur	-0.2
bluring	-0.4
blurred	-0.1
blurring	-0.3
blurry	-0.3
blurs	-0.2
blurt	-0.3
blush	-0.3
bluster	-0.4
blustering	-0.4
blustery	-0.4
b-movie	-0.4
boast	-0.2
boastful	-0.4
bodacious	-0.4
boehmeria	-0.3
bogey	-0.9
boggle	-0.4
bogus	-0.6
boil	-0.2
boiler	-0.3
boilerplate	-0.1
boiling	-0.2
boisterous	-0.4
boldface	-0.2
bolshevik	-0.2
bolshy	-0.2
bolt	-0.2
bomb	-0.6
bombard	-0.7
bombardment	-0.8
bombed	-0.3
bomber	-0.9
bomblet	-0.9
bondage	-0.4
bonds	-0.3
bone-headed	-0.6
boneshaker	-0.4
bonkers	-0.5
bony	-0.2
bonyness	-0.2
boo	-0.7
booboo	-0.8
booby	-0.5
booger	-0.6
boohoo	-0.7
boom	-0.2
booming	-0.6
boondoggle	-0.2
booo	-1
boooo	-1
booooo	-0.5
boooooo	-0.8
boorish	-0.4
boorishness	-0.4
boot	-0.3
booted	-0.5
bootleg	-0.7
bootlegger	-0.7
bootless	-0.4
bootlicking	-0.5
booze	-0.2
bord	-0.8
bore	-0.7
bored	-0.7
boredd	-1
boreddd	-1
boredom	-0.8
bores	-0.7
boresome	-0.7
boric	-0.1
borin	-1
boring	-0.8
boringly	-0.9
boringness	-0.8
borrower	-0.1
botch	-0.3
botchy	-0.5
bother	-0.3
bothered	-0.4
bothering	-0.7
bothers	-0.3
bothersome	-0.6
bottomland	-0.5
bottommost	-0.8
bound	-0.3
bout	-0.1
bowdlerization	-0.2
bowdlerize	-0.3
bowery	-0.3
boy-bait	-0.3
boycott	-0.4
boycotted	-0.5
boycotting	-0.4
boycotts	-0.4
brachydactylic	-0.2
brachydactyly	-0.2
brackish	-0.6
brag	-0.5
bragg	-0.4
braggart	-0.2
bragger	-0.7
brainless	-0.8
brain-racking	-0.9
brainwash	-0.9
brainwashed	-0.9
brainwashing	-0.8
brandish	-0.3
brash	-0.2
brashly	-0.5
brashness	-0.5
brat	-0.6
bratty	-0.4
bravado	-0.3
brawl	-0.5
brazen	-0.2
brazenly	-0.5
breach	-0.3
breached	-0.2
breaching	-0.3
break	-0.5
breakaway	-0.3
breakdown	-0.4
break-in	-0.7
breaking	-0.8
breakneck	-0.2
break-point	-0.3
breaks	-0.2
breakup	-0.3
break-up	-0.4
breakups	-0.5
break-ups	-0.4
breathless	-0.1
brevity	-0.1
bribe	-0.2
briber	-0.2
bribery	-0.2
bribes	-0.7
bribing	-0.5
bridgehead	-0.3
briefness	-0.2
brier	-0.1
brigade	-0.3
brimstone	-0.1
brinkmanship	-0.4
bristly	-0.1
brittle	-0.4
broad	-0.5
broadside	-0.4
broil	-0.1
broke	-0.5
broken	-0.5
broken-hearted	-1
bromidic	-0.4
bromine	-0.1
bronchitic	-0.8
bronchitis	-0.8
bronchospasm	-0.8
brood	-0.3
brooding	-0.3
brothel	-0.5
browbeat	-0.4
brr	-0.4
brucine	-0.4
bruise	-0.8
bruised	-1
bruises	-0.5
bruising	-0.6
brunt	-0.3
brusque	-0.4
brutal	-0.7
brutalising	-0.9
brutalities	-1
brutality	-0.8
